transaction_id,timestamp,client_id,pays,categorie,montant_cad,mode_paiement,statut
TXN-2026-10000,2026-09-01 08:35:00,CLI-152,Suisse,Logiciels,166.13,Virement Interac,Livre
TXN-2026-10001,2026-09-01 09:09:00,CLI-616,Belgique,Logiciels,227.8,Carte de credit,Livre
TXN-2026-10002,2026-09-01 09:25:00,CLI-503,Etats-Unis,Mobilier,429.43,Virement Interac,Livre
TXN-2026-10003,2026-09-01 09:47:00,CLI-716,Suisse,Accessoires,387.56,Carte de credit,Livre
TXN-2026-10004,2026-09-01 10:05:00,CLI-830,Etats-Unis,Accessoires,401.52,PayPal,En traitement
TXN-2026-10005,2026-09-01 10:47:00,CLI-243,Etats-Unis,Logiciels,255.93,Apple Pay,En traitement
TXN-2026-10006,2026-09-01 11:16:00,CLI-707,Etats-Unis,Logiciels,625.51,Apple Pay,En traitement
TXN-2026-10007,2026-09-01 11:45:00,CLI-586,Canada,Mobilier,265.15,Carte de credit,Expedie
TXN-2026-10008,2026-09-01 12:14:00,CLI-915,Canada,Logiciels,369.08,PayPal,En traitement
TXN-2026-10009,2026-09-01 12:27:00,CLI-697,Belgique,Informatique,405.07,Apple Pay,Livre
TXN-2026-10010,2026-09-01 12:52:00,CLI-132,Suisse,Electronique,163.32,Apple Pay,Expedie
TXN-2026-10011,2026-09-01 13:28:00,CLI-255,Belgique,Informatique,322.52,Apple Pay,En traitement
TXN-2026-10012,2026-09-01 13:41:00,CLI-822,France,Logiciels,175.32,Virement Interac,En traitement
TXN-2026-10013,2026-09-01 14:21:00,CLI-638,Belgique,Mobilier,718.6,Apple Pay,En traitement
TXN-2026-10014,2026-09-01 14:52:00,CLI-659,Etats-Unis,Mobilier,467.31,PayPal,Livre
TXN-2026-10015,2026-09-01 15:19:00,CLI-671,Etats-Unis,Informatique,707.58,Virement Interac,Expedie
TXN-2026-10016,2026-09-01 15:42:00,CLI-806,Belgique,Mobilier,372.86,Virement Interac,Expedie
TXN-2026-10017,2026-09-01 15:59:00,CLI-687,Suisse,Accessoires,674.43,Apple Pay,Expedie
TXN-2026-10018,2026-09-01 16:18:00,CLI-397,Canada,Mobilier,717.6,Carte de credit,Expedie
TXN-2026-10019,2026-09-01 16:56:00,CLI-771,Etats-Unis,Accessoires,180.14,Virement Interac,En traitement
TXN-2026-10020,2026-09-01 17:23:00,CLI-240,Canada,Logiciels,562.15,PayPal,Livre
TXN-2026-10021,2026-09-01 17:36:00,CLI-785,Suisse,Informatique,487.51,Carte de credit,Livre
TXN-2026-10022,2026-09-01 18:12:00,CLI-438,Belgique,Electronique,518.86,PayPal,Livre
TXN-2026-10023,2026-09-01 18:57:00,CLI-261,Belgique,Accessoires,371.15,PayPal,Expedie
TXN-2026-10024,2026-09-01 19:27:00,CLI-392,Canada,Electronique,497.92,PayPal,En traitement
TXN-2026-10025,2026-09-01 19:39:00,CLI-279,Belgique,Informatique,702.09,Carte de credit,Expedie
TXN-2026-10026,2026-09-01 20:20:00,CLI-290,Etats-Unis,Electronique,31.72,Carte de credit,Expedie
TXN-2026-10027,2026-09-01 20:48:00,CLI-565,Suisse,Logiciels,383.09,PayPal,En traitement
TXN-2026-10028,2026-09-01 21:27:00,CLI-379,France,Electronique,264.75,Apple Pay,En traitement
TXN-2026-10029,2026-09-01 21:53:00,CLI-835,France,Electronique,559.05,Virement Interac,En traitement
TXN-2026-10030,2026-09-01 22:15:00,CLI-279,Suisse,Accessoires,624.57,Virement Interac,Livre
TXN-2026-10031,2026-09-01 22:50:00,CLI-785,Canada,Informatique,736.72,Apple Pay,Expedie
TXN-2026-10032,2026-09-01 23:15:00,CLI-106,Etats-Unis,Accessoires,195.75,Virement Interac,Expedie
TXN-2026-10033,2026-09-01 23:44:00,CLI-696,Suisse,Electronique,214.63,Virement Interac,En traitement
TXN-2026-10034,2026-09-02 00:09:00,CLI-163,Canada,Accessoires,247.43,Apple Pay,En traitement
TXN-2026-10035,2026-09-02 00:51:00,CLI-820,Etats-Unis,Electronique,488.07,Virement Interac,Expedie
TXN-2026-10036,2026-09-02 01:15:00,CLI-324,France,Accessoires,136.06,Virement Interac,Expedie
TXN-2026-10037,2026-09-02 02:00:00,CLI-582,Suisse,Informatique,577.35,Carte de credit,En traitement
TXN-2026-10038,2026-09-02 02:38:00,CLI-640,Etats-Unis,Electronique,690.0,Carte de credit,Livre
TXN-2026-10039,2026-09-02 03:23:00,CLI-617,France,Logiciels,414.08,PayPal,Expedie
TXN-2026-10040,2026-09-02 04:06:00,CLI-552,Canada,Informatique,544.77,Apple Pay,Livre
TXN-2026-10041,2026-09-02 04:48:00,CLI-556,Canada,Accessoires,120.66,Apple Pay,Expedie
TXN-2026-10042,2026-09-02 05:01:00,CLI-672,Belgique,Mobilier,549.38,Apple Pay,Expedie
TXN-2026-10043,2026-09-02 05:11:00,CLI-863,France,Logiciels,77.95,Apple Pay,Expedie
TXN-2026-10044,2026-09-02 05:25:00,CLI-654,Canada,Electronique,739.95,Apple Pay,Livre
TXN-2026-10045,2026-09-02 05:53:00,CLI-518,France,Informatique,580.23,Apple Pay,Expedie
TXN-2026-10046,2026-09-02 06:27:00,CLI-559,Belgique,Accessoires,83.18,PayPal,En traitement
TXN-2026-10047,2026-09-02 06:59:00,CLI-221,France,Logiciels,309.97,PayPal,En traitement
TXN-2026-10048,2026-09-02 07:23:00,CLI-954,Canada,Electronique,734.41,Apple Pay,En traitement
TXN-2026-10049,2026-09-02 08:07:00,CLI-534,Suisse,Accessoires,621.94,PayPal,Expedie
TXN-2026-10050,2026-09-02 08:39:00,CLI-258,Etats-Unis,Informatique,704.62,Carte de credit,Livre
TXN-2026-10051,2026-09-02 09:15:00,CLI-729,Canada,Informatique,174.41,Carte de credit,En traitement
TXN-2026-10052,2026-09-02 09:27:00,CLI-557,Suisse,Electronique,202.43,Carte de credit,Expedie
TXN-2026-10053,2026-09-02 10:05:00,CLI-339,Suisse,Informatique,571.93,Carte de credit,Livre
TXN-2026-10054,2026-09-02 10:47:00,CLI-396,France,Logiciels,256.21,Virement Interac,Livre
TXN-2026-10055,2026-09-02 11:16:00,CLI-997,France,Logiciels,185.26,Virement Interac,Expedie
TXN-2026-10056,2026-09-02 11:29:00,CLI-670,Suisse,Informatique,478.85,Apple Pay,En traitement
TXN-2026-10057,2026-09-02 12:10:00,CLI-148,Etats-Unis,Accessoires,594.71,Virement Interac,En traitement
TXN-2026-10058,2026-09-02 12:46:00,CLI-518,France,Mobilier,297.93,Apple Pay,Livre
TXN-2026-10059,2026-09-02 13:10:00,CLI-407,France,Accessoires,688.19,Apple Pay,Expedie
